combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - 2nd Half Corners (odd2)
1-Over 3.5,1.65,1.36,2.22,Match Result: Boca Juniors @ 1.6500  |  2nd Half Corners: Over 3.5 @ 1.3600,,
1-Under 3.5,1.65,2.95,4.7,Match Result: Boca Juniors @ 1.6500  |  2nd Half Corners: Under 3.5 @ 2.9500,,
X-Over 3.5,3.35,1.36,4.5,Match Result: Draw @ 3.3500  |  2nd Half Corners: Over 3.5 @ 1.3600,,
X-Over 4.5,3.35,1.82,5.9,Match Result: Draw @ 3.3500  |  2nd Half Corners: Over 4.5 @ 1.8200,,
1-Over 2.5,2.05,1.16,2.32,Match Result: CA Independiente @ 2.0500  |  2nd Half Corners: Over 2.5 @ 1.1600,,
1-Under 2.5,2.05,4.75,9.25,Match Result: CA Independiente @ 2.0500  |  2nd Half Corners: Under 2.5 @ 4.7500,,
1-Over 3.5,2.05,1.42,2.85,Match Result: CA Independiente @ 2.0500  |  2nd Half Corners: Over 3.5 @ 1.4200,,
1-Under 3.5,2.05,2.77,5.4,Match Result: CA Independiente @ 2.0500  |  2nd Half Corners: Under 3.5 @ 2.7700,,
1-Under 4.5,2.05,1.83,3.6,Match Result: CA Independiente @ 2.0500  |  2nd Half Corners: Under 4.5 @ 1.8300,,
1-Under 5.5,2.05,1.39,2.8,Match Result: CA Independiente @ 2.0500  |  2nd Half Corners: Under 5.5 @ 1.3900,,
1-Under 6.5,2.05,1.18,2.35,Match Result: CA Independiente @ 2.0500  |  2nd Half Corners: Under 6.5 @ 1.1800,,
X-Over 4.5,3.2,1.91,6.2,Match Result: Draw @ 3.2000  |  2nd Half Corners: Over 4.5 @ 1.9100,,
2-Under 6.5,4.05,1.18,4.6,Match Result: CA Talleres de Cordoba @ 4.0500  |  2nd Half Corners: Under 6.5 @ 1.1800,,
1-Under 2.5,2.92,4.8,12.5,Match Result: Defensa y Justicia @ 2.9200  |  2nd Half Corners: Under 2.5 @ 4.8000,,
1-Under 3.5,2.92,2.8,7.5,Match Result: Defensa y Justicia @ 2.9200  |  2nd Half Corners: Under 3.5 @ 2.8000,,
1-Over 6.5,2.92,4.45,12,Match Result: Defensa y Justicia @ 2.9200  |  2nd Half Corners: Over 6.5 @ 4.4500,,
1-Over 2.5,2.32,1.14,2.57,Match Result: Velez Sarsfield @ 2.3200  |  2nd Half Corners: Over 2.5 @ 1.1400,,
1-Under 2.5,2.32,5.2,11.25,Match Result: Velez Sarsfield @ 2.3200  |  2nd Half Corners: Under 2.5 @ 5.2000,,
1-Under 3.5,2.32,3,6.7,Match Result: Velez Sarsfield @ 2.3200  |  2nd Half Corners: Under 3.5 @ 3.0000,,
1-Under 4.5,2.32,1.95,4.45,Match Result: Velez Sarsfield @ 2.3200  |  2nd Half Corners: Under 4.5 @ 1.9500,,
1-Under 5.5,2.32,1.47,3.35,Match Result: Velez Sarsfield @ 2.3200  |  2nd Half Corners: Under 5.5 @ 1.4700,,
1-Under 6.5,2.32,1.22,2.77,Match Result: Velez Sarsfield @ 2.3200  |  2nd Half Corners: Under 6.5 @ 1.2200,,
X-Under 2.5,3.05,5.2,16,Match Result: Draw @ 3.0500  |  2nd Half Corners: Under 2.5 @ 5.2000,,
2-Under 2.5,3.4,5.2,16.5,Match Result: CA Lanus @ 3.4000  |  2nd Half Corners: Under 2.5 @ 5.2000,,
2-Under 3.5,3.4,3,10,Match Result: CA Lanus @ 3.4000  |  2nd Half Corners: Under 3.5 @ 3.0000,,
1-Under 5.5,2.87,1.47,4.1,Match Result: CA Belgrano @ 2.8700  |  2nd Half Corners: Under 5.5 @ 1.4700,,
1-Over 2.5,6.9,1.17,7.6,Match Result: Estudiantes Rio Cuarto @ 6.9000  |  2nd Half Corners: Over 2.5 @ 1.1700,,
1-Under 3.5,6.9,2.72,17,Match Result: Estudiantes Rio Cuarto @ 6.9000  |  2nd Half Corners: Under 3.5 @ 2.7200,,
X-Over 4.5,3.55,1.93,7,Match Result: Draw @ 3.5500  |  2nd Half Corners: Over 4.5 @ 1.9300,,
X-Over 6.5,3.55,4.6,15.5,Match Result: Draw @ 3.5500  |  2nd Half Corners: Over 6.5 @ 4.6000,,
2-Over 2.5,1.6,1.17,1.83,Match Result: River Plate @ 1.6000  |  2nd Half Corners: Over 2.5 @ 1.1700,,
2-Under 5.5,1.6,1.38,2.2,Match Result: River Plate @ 1.6000  |  2nd Half Corners: Under 5.5 @ 1.3800,,
1-Over 2.5,2.15,1.14,2.37,Match Result: CA Sarmiento @ 2.1500  |  2nd Half Corners: Over 2.5 @ 1.1400,,
1-Under 2.5,2.15,5.3,11,Match Result: CA Sarmiento @ 2.1500  |  2nd Half Corners: Under 2.5 @ 5.3000,,
1-Over 3.5,2.15,1.35,2.82,Match Result: CA Sarmiento @ 2.1500  |  2nd Half Corners: Over 3.5 @ 1.3500,,
1-Over 4.5,2.15,1.78,3.7,Match Result: CA Sarmiento @ 2.1500  |  2nd Half Corners: Over 4.5 @ 1.7800,,
1-Under 3.5,2.15,3.05,6.3,Match Result: CA Sarmiento @ 2.1500  |  2nd Half Corners: Under 3.5 @ 3.0500,,
1-Over 6.5,2.15,3.95,8,Match Result: CA Sarmiento @ 2.1500  |  2nd Half Corners: Over 6.5 @ 3.9500,,
1-Under 6.5,2.15,1.22,2.57,Match Result: CA Sarmiento @ 2.1500  |  2nd Half Corners: Under 6.5 @ 1.2200,,
X-Over 2.5,3,1.14,3.5,Match Result: Draw @ 3.0000  |  2nd Half Corners: Over 2.5 @ 1.1400,,
X-Under 4.5,3,1.98,5.8,Match Result: Draw @ 3.0000  |  2nd Half Corners: Under 4.5 @ 1.9800,,
1-Over 2.5,1.98,1.1,2.05,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Over 2.5 @ 1.1000,,
1-Over 3.5,1.98,1.27,2.42,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Over 3.5 @ 1.2700,,
1-Over 4.5,1.98,1.6,3.15,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Over 4.5 @ 1.6000,,
1-Over 6.5,1.98,3.3,6.4,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Over 6.5 @ 3.3000,,
1-Over 7.5,1.98,5.1,9.75,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Over 7.5 @ 5.1000,,
1-Over 8.5,1.98,7.8,15,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Over 8.5 @ 7.8000,,
1-Over 9.5,1.98,10.5,20,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Over 9.5 @ 10.5000,,
1-Under 1.5,1.98,10.5,19.5,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Under 1.5 @ 10.5000,,
1-Under 2.5,1.98,6.2,11.5,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Under 2.5 @ 6.2000,,
1-Under 3.5,1.98,3.5,6.2,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Under 3.5 @ 3.5000,,
1-Under 5.5,1.98,1.62,2.9,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Under 5.5 @ 1.6200,,
1-Under 6.5,1.98,1.3,2.4,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Under 6.5 @ 1.3000,,
1-Under 7.5,1.98,1.14,2.12,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Under 7.5 @ 1.1400,,
1-Under 9.5,1.98,1.025,1.98,Match Result: Toronto FC @ 1.9800  |  2nd Half Corners: Under 9.5 @ 1.0250,,
X-Over 1.5,3.7,1.025,3.85,Match Result: Draw @ 3.7000  |  2nd Half Corners: Over 1.5 @ 1.0250,,
X-Over 2.5,3.7,1.1,4.1,Match Result: Draw @ 3.7000  |  2nd Half Corners: Over 2.5 @ 1.1000,,
X-Over 3.5,3.7,1.27,4.75,Match Result: Draw @ 3.7000  |  2nd Half Corners: Over 3.5 @ 1.2700,,
X-Over 4.5,3.7,1.6,6.1,Match Result: Draw @ 3.7000  |  2nd Half Corners: Over 4.5 @ 1.6000,,
X-Over 5.5,3.7,2.22,8.25,Match Result: Draw @ 3.7000  |  2nd Half Corners: Over 5.5 @ 2.2200,,
X-Over 6.5,3.7,3.3,12,Match Result: Draw @ 3.7000  |  2nd Half Corners: Over 6.5 @ 3.3000,,
