combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - Over/Under Corners (odd2)
X-Under 9.5,3.25,1.93,6.3,Match Result: Ισοπαλία @ 3.2500  |  Over/Under Corners: Under 9.5 @ 1.9300,,
1-Over 8.5,4.05,1.75,6.7,Match Result: Σαχτάρ Ντόνετσκ @ 4.0500  |  Over/Under Corners: Over 8.5 @ 1.7500,,
1-Under 8.5,4.05,2,7.6,Match Result: Σαχτάρ Ντόνετσκ @ 4.0500  |  Over/Under Corners: Under 8.5 @ 2.0000,,
2-Over 8.5,1.93,1.75,3.4,Match Result: Κρίσταλ Πάλας @ 1.9300  |  Over/Under Corners: Over 8.5 @ 1.7500,,
X-Over 8.5,3.55,1.75,5.5,Match Result: Ισοπαλία @ 3.5500  |  Over/Under Corners: Over 8.5 @ 1.7500,,
X-Under 8.5,3.55,2,6.8,Match Result: Ισοπαλία @ 3.5500  |  Over/Under Corners: Under 8.5 @ 2.0000,,
2-Under 8.5,1.93,2,3.9,Match Result: Κρίσταλ Πάλας @ 1.9300  |  Over/Under Corners: Under 8.5 @ 2.0000,,
1-Over 9.5,2.22,1.93,4.05,Match Result: Ράγιο Βαγιεκάνο @ 2.2200  |  Over/Under Corners: Over 9.5 @ 1.9300,,
1-Under 9.5,2.22,1.82,3.85,Match Result: Ράγιο Βαγιεκάνο @ 2.2200  |  Over/Under Corners: Under 9.5 @ 1.8200,,
2-Over 9.5,3.3,1.93,5.6,Match Result: Στρασβούργο @ 3.3000  |  Over/Under Corners: Over 9.5 @ 1.9300,,
X-Over 9.5,3.35,1.93,6.7,Match Result: Ισοπαλία @ 3.3500  |  Over/Under Corners: Over 9.5 @ 1.9300,,
X-Under 9.5,3.35,1.82,6.1,Match Result: Ισοπαλία @ 3.3500  |  Over/Under Corners: Under 9.5 @ 1.8200,,
1-Over 10.5,20,1.87,30,Match Result: Λέστερ (Γ) @ 20.0000  |  Over/Under Corners: Over 10.5 @ 1.8700,,
1-Under 10.5,20,1.87,45,Match Result: Λέστερ (Γ) @ 20.0000  |  Over/Under Corners: Under 10.5 @ 1.8700,,
2-Over 10.5,1.09,1.87,2.05,Match Result: Τσέλσι LFC (Γ) @ 1.0900  |  Over/Under Corners: Over 10.5 @ 1.8700,,
2-Under 10.5,1.09,1.87,2.02,Match Result: Τσέλσι LFC (Γ) @ 1.0900  |  Over/Under Corners: Under 10.5 @ 1.8700,,
X-Over 10.5,6.9,1.87,11.75,Match Result: Ισοπαλία @ 6.9000  |  Over/Under Corners: Over 10.5 @ 1.8700,,
X-Under 10.5,6.9,1.87,15,Match Result: Ισοπαλία @ 6.9000  |  Over/Under Corners: Under 10.5 @ 1.8700,,
1-Over 9.5,2.15,1.78,3.85,Match Result: Τότεναμ (Γ) @ 2.1500  |  Over/Under Corners: Over 9.5 @ 1.7800,,
1-Under 9.5,2.15,1.98,4.15,Match Result: Τότεναμ (Γ) @ 2.1500  |  Over/Under Corners: Under 9.5 @ 1.9800,,
2-Over 9.5,2.92,1.78,5.2,Match Result: Λόντον Σίτι Λαϊονέσες (Γ) @ 2.9200  |  Over/Under Corners: Over 9.5 @ 1.7800,,
