combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - 1st Half Corners (odd2)
X-Under 4.5,3.05,1.62,4.9,Match Result: Draw @ 3.0500  |  1st Half Corners: Under 4.5 @ 1.6200,,
1-Over 4.5,2,2.07,4,Match Result: Instituto AC Cordoba @ 2.0000  |  1st Half Corners: Over 4.5 @ 2.0700,,
1-Under 4.5,2,1.7,3.3,Match Result: Instituto AC Cordoba @ 2.0000  |  1st Half Corners: Under 4.5 @ 1.7000,,
2-Over 4.5,4.1,2.07,8.25,Match Result: Defensa y Justicia @ 4.1000  |  1st Half Corners: Over 4.5 @ 2.0700,,
2-Under 4.5,4.1,1.7,6.7,Match Result: Defensa y Justicia @ 4.1000  |  1st Half Corners: Under 4.5 @ 1.7000,,
X-Over 4.5,3.15,2.07,6.6,Match Result: Draw @ 3.1500  |  1st Half Corners: Over 4.5 @ 2.0700,,
X-Under 4.5,3.15,1.7,5.4,Match Result: Draw @ 3.1500  |  1st Half Corners: Under 4.5 @ 1.7000,,
1-Over 4.5,2.95,2.15,5.9,Match Result: Gimnasia y Esgrima de La Plata @ 2.9500  |  1st Half Corners: Over 4.5 @ 2.1500,,
1-Under 4.5,2.95,1.65,4.7,Match Result: Gimnasia y Esgrima de La Plata @ 2.9500  |  1st Half Corners: Under 4.5 @ 1.6500,,
2-Over 4.5,2.82,2.15,5.8,Match Result: CA Huracan @ 2.8200  |  1st Half Corners: Over 4.5 @ 2.1500,,
2-Under 4.5,2.82,1.65,4.6,Match Result: CA Huracan @ 2.8200  |  1st Half Corners: Under 4.5 @ 1.6500,,
X-Under 4.5,2.72,1.65,4.55,Match Result: Draw @ 2.7200  |  1st Half Corners: Under 4.5 @ 1.6500,,
1-Over 4.5,1.55,2.05,3.1,Match Result: River Plate @ 1.5500  |  1st Half Corners: Over 4.5 @ 2.0500,,
1-Under 4.5,1.55,1.72,2.65,Match Result: River Plate @ 1.5500  |  1st Half Corners: Under 4.5 @ 1.7200,,
2-Over 4.5,6.5,2.05,13,Match Result: CA Belgrano @ 6.5000  |  1st Half Corners: Over 4.5 @ 2.0500,,
2-Under 4.5,6.5,1.72,10.25,Match Result: CA Belgrano @ 6.5000  |  1st Half Corners: Under 4.5 @ 1.7200,,
X-Over 4.5,3.8,2.05,7.5,Match Result: Draw @ 3.8000  |  1st Half Corners: Over 4.5 @ 2.0500,,
X-Under 4.5,3.8,1.72,6.4,Match Result: Draw @ 3.8000  |  1st Half Corners: Under 4.5 @ 1.7200,,
1-Over 4.5,3.05,2.1,5.9,Match Result: San Lorenzo @ 3.0500  |  1st Half Corners: Over 4.5 @ 2.1000,,
1-Under 4.5,3.05,1.67,5,Match Result: San Lorenzo @ 3.0500  |  1st Half Corners: Under 4.5 @ 1.6700,,
2-Over 4.5,2.8,2.1,5.7,Match Result: Estudiantes de La Plata @ 2.8000  |  1st Half Corners: Over 4.5 @ 2.1000,,
2-Under 4.5,2.8,1.67,4.6,Match Result: Estudiantes de La Plata @ 2.8000  |  1st Half Corners: Under 4.5 @ 1.6700,,
X-Over 4.5,2.7,2.1,5.6,Match Result: Draw @ 2.7000  |  1st Half Corners: Over 4.5 @ 2.1000,,
X-Under 4.5,2.7,1.67,4.55,Match Result: Draw @ 2.7000  |  1st Half Corners: Under 4.5 @ 1.6700,,
1-Over 4.5,2.12,2.27,4.45,Match Result: CA Aldosivi @ 2.1200  |  1st Half Corners: Over 4.5 @ 2.2700,,
1-Under 4.5,2.12,1.6,3.35,Match Result: CA Aldosivi @ 2.1200  |  1st Half Corners: Under 4.5 @ 1.6000,,
2-Over 4.5,4.05,2.27,8.75,Match Result: Estudiantes Rio Cuarto @ 4.0500  |  1st Half Corners: Over 4.5 @ 2.2700,,
2-Under 4.5,4.05,1.6,6.5,Match Result: Estudiantes Rio Cuarto @ 4.0500  |  1st Half Corners: Under 4.5 @ 1.6000,,
X-Over 4.5,2.92,2.27,6.7,Match Result: Draw @ 2.9200  |  1st Half Corners: Over 4.5 @ 2.2700,,
X-Under 4.5,2.92,1.6,4.7,Match Result: Draw @ 2.9200  |  1st Half Corners: Under 4.5 @ 1.6000,,
1-Over 4.5,2.47,2.15,4.85,Match Result: CA Independiente @ 2.4700  |  1st Half Corners: Over 4.5 @ 2.1500,,
1-Under 4.5,2.47,1.65,4,Match Result: CA Independiente @ 2.4700  |  1st Half Corners: Under 4.5 @ 1.6500,,
2-Over 4.5,3.1,2.15,6.4,Match Result: Racing Club @ 3.1000  |  1st Half Corners: Over 4.5 @ 2.1500,,
X-Over 4.5,3,2.15,6.6,Match Result: Draw @ 3.0000  |  1st Half Corners: Over 4.5 @ 2.1500,,
X-Under 4.5,3,1.65,5.2,Match Result: Draw @ 3.0000  |  1st Half Corners: Under 4.5 @ 1.6500,,
1-Over 3.5,2.45,1.55,3.65,Match Result: Central Cordoba @ 2.4500  |  1st Half Corners: Over 3.5 @ 1.5500,,
1-Under 3.5,2.45,2.35,5.6,Match Result: Central Cordoba @ 2.4500  |  1st Half Corners: Under 3.5 @ 2.3500,,
2-Over 3.5,3.15,1.55,4.6,Match Result: Newells Old Boys @ 3.1500  |  1st Half Corners: Over 3.5 @ 1.5500,,
2-Under 3.5,3.15,2.35,7.5,Match Result: Newells Old Boys @ 3.1500  |  1st Half Corners: Under 3.5 @ 2.3500,,
X-Under 3.5,3,2.35,7.2,Match Result: Draw @ 3.0000  |  1st Half Corners: Under 3.5 @ 2.3500,,
1-Over 4.5,3.6,2.15,7.2,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6000  |  1st Half Corners: Over 4.5 @ 2.1500,,
1-Under 4.5,3.6,1.65,5.7,Match Result: Gimnasia Y Esgrima Mendoza @ 3.6000  |  1st Half Corners: Under 4.5 @ 1.6500,,
2-Over 4.5,2.35,2.15,4.85,Match Result: Velez Sarsfield @ 2.3500  |  1st Half Corners: Over 4.5 @ 2.1500,,
2-Under 4.5,2.35,1.65,3.9,Match Result: Velez Sarsfield @ 2.3500  |  1st Half Corners: Under 4.5 @ 1.6500,,
X-Over 4.5,2.8,2.15,5.9,Match Result: Draw @ 2.8000  |  1st Half Corners: Over 4.5 @ 2.1500,,
X-Under 4.5,2.8,1.65,4.65,Match Result: Draw @ 2.8000  |  1st Half Corners: Under 4.5 @ 1.6500,,
